,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
30,the valley,40,AI,1542085200,78,18.22,-63.06,300.15,8.2
31,te anau,0,NZ,1542087103,61,-45.41,167.72,288.87,0.81
32,kapaa,75,US,1542084960,62,22.08,-159.32,297.55,7.2
33,upernavik,36,GL,1542087103,100,72.79,-56.15,265.145,6.54
34,zeya,0,RU,1542087104,70,53.74,127.27,270.02,1.06
35,port blair,48,IN,1542087104,100,11.67,92.75,300.82,3.04
36,ekhabi,92,RU,1542087104,99,53.51,142.97,275.47,5.99
37,san mariano,64,PH,1542087105,81,16.98,122.01,300.27,1.74
38,kaeo,44,NZ,1542087105,42,-35.1,173.78,293.82,4.21
39,geraldton,90,CA,1542081600,65,49.72,-86.95,259.15,2.1
40,hithadhoo,80,MV,1542087106,99,-0.6,73.08,301.645,7.66
41,saldanha,88,PT,1542087106,94,41.42,-6.55,276.97,2.49
42,albany,90,US,1542084840,46,42.65,-73.75,279.85,3.1
43,cheremnoye,90,RU,1542083400,78,53.17,83.21,261.15,8.0
44,farafangana,88,MG,1542087107,100,-22.82,47.83,295.87,5.86
45,ornskoldsvik,20,SE,1542084600,100,63.29,18.72,277.15,3.6
46,hobart,0,AU,1542085200,24,-42.88,147.33,300.15,5.7
47,butaritari,12,KI,1542087108,100,3.07,172.79,303.045,5.26
48,buin,75,CL,1542085200,71,-33.73,-70.74,286.15,2.1
49,khadyzhensk,92,RU,1542087109,98,44.42,39.54,274.645,1.34
50,punta arenas,75,CL,1542085200,75,-53.16,-70.91,281.15,3.1
51,lihula,90,EE,1542084600,100,58.68,23.83,280.15,5.7
52,dikson,88,RU,1542087110,100,73.51,80.55,256.92,19.54
53,meulaboh,92,ID,1542087110,100,4.14,96.13,298.07,3.09
54,busselton,0,AU,1542087111,88,-33.64,115.35,293.445,4.44
55,tual,44,ID,1542087111,100,-5.67,132.75,302.27,2.71
56,nobres,24,BR,1542087111,87,-14.72,-56.34,297.895,1.59
57,saint-pierre,75,FR,1542085200,100,48.95,4.24,284.15,4.1
58,bredasdorp,44,ZA,1542085200,77,-34.53,20.04,291.15,1.0
59,kondinskoye,56,RU,1542087041,87,59.65,67.41,269.195,2.96
60,aklavik,90,CA,1542081600,77,68.22,-135.01,258.15,4.6
61,japura,12,ID,1542087113,74,-0.42,102.29,304.07,1.29
62,nizhniy odes,80,RU,1542087113,77,63.64,54.86,267.645,3.81
63,mokhsogollokh,76,RU,1542087114,59,61.4,128.95,256.37,1.71
64,luvianos,0,MX,1542087114,91,18.92,-100.4,281.07,1.01
65,pisco,0,PE,1542085200,82,-13.71,-76.2,291.15,4.1
66,qaanaaq,64,GL,1542087115,100,77.48,-69.36,259.47,2.19
67,georgetown,0,GY,1542085200,94,6.8,-58.16,298.15,2.1
68,cape town,90,ZA,1542085200,72,-33.93,18.42,291.15,4.1
69,ancud,24,CL,1542087116,85,-41.87,-73.83,278.945,1.16
70,ahipara,32,NZ,1542087116,71,-35.17,173.16,290.77,6.19
71,mount gambier,12,AU,1542086982,71,-37.83,140.78,294.62,2.34
72,matara,20,PE,1542087117,95,-13.74,-72.9,275.37,0.84
73,avarua,40,CK,1542085200,78,-21.21,-159.78,299.15,4.1
74,longyearbyen,75,NO,1542084600,78,78.22,15.63,265.15,2.6
75,okhotsk,88,RU,1542087118,93,59.36,143.24,272.07,6.24
76,adrar,0,DZ,1542085200,54,27.87,-0.29,285.15,5.1
77,atuona,48,PF,1542087119,100,-9.8,-139.03,300.17,8.36
78,rehoboth,0,NA,1542087119,18,-23.31,17.08,293.97,1.01
79,ghanzi,0,BW,1542087120,27,-21.7,21.65,296.07,5.41
80,vardo,90,US,1542086100,100,39.62,-77.74,279.15,2.6
81,pevek,0,RU,1542087120,83,69.7,170.27,252.67,3.26
82,ushuaia,0,AR,1542085200,48,-54.81,-68.31,280.15,7.2
83,bluff,0,AU,1542087121,25,-23.58,149.07,305.17,3.99
84,naze,32,NG,1542087121,95,5.43,7.07,297.02,1.24
85,antofagasta,20,CL,1542085200,82,-23.65,-70.4,288.15,9.3
86,hilo,40,US,1542084960,62,19.71,-155.08,297.55,2.1
87,port hardy,75,CA,1542081600,61,50.7,-127.42,282.15,7.7
88,lebanon,90,US,1542086100,72,43.64,-72.25,275.95,1.79
89,seoul,0,KR,1542085200,37,37.57,126.98,287.15,3.1
90,chumikan,68,RU,1542087123,89,54.72,135.31,272.17,1.91
91,ratnagiri,0,IN,1542087123,82,16.98,73.3,304.07,3.09
92,nishihara,75,JP,1542085200,67,35.74,139.53,289.15,2.6
93,comodoro rivadavia,0,AR,1542085200,39,-45.87,-67.48,292.15,7.2
94,sun prairie,90,US,1542086100,58,43.18,-89.21,267.05,5.7
95,vaini,0,IN,1542087125,25,15.34,74.49,304.67,2.34
96,sharanga,0,RU,1542087126,80,57.18,46.54,260.37,3.94
97,ereymentau,92,KZ,1542087126,89,51.62,73.1,264.045,5.31
98,port alfred,12,ZA,1542087127,79,-33.59,26.89,294.545,5.41
99,torbay,75,CA,1542081600,74,47.66,-52.73,274.15,10.8
100,qaqortoq,88,GL,1542084600,30,60.72,-46.03,278.15,15.9
101,tuktoyaktuk,40,CA,1542081600,83,69.44,-133.03,251.15,4.6
102,hasaki,75,JP,1542085200,67,35.73,140.83,289.15,5.7
103,la palma,88,CO,1542087130,100,5.36,-74.39,292.295,0.26
104,saint-philippe,90,CA,1542086100,65,45.36,-73.48,277.45,4.6
105,laguna,0,MX,1542086924,54,27.52,-110.01,288.12,2.01
106,harper,90,US,1542086640,73,30.3,-99.24,274.15,7.2
107,iqaluit,75,CA,1542081600,77,63.75,-68.52,257.15,3.6
108,plettenberg bay,56,ZA,1542087132,95,-34.05,23.37,290.62,5.34
109,lazarev,92,RU,1542087132,99,52.23,141.51,275.195,5.76
110,nome,90,US,1542086460,86,30.04,-94.42,281.45,7.7
111,souillac,75,FR,1542085200,93,45.6,-0.6,283.15,1.0
112,kalemie,80,CD,1542087133,100,-5.95,29.2,295.395,5.11
113,eyl,0,SO,1542087133,89,7.98,49.82,300.27,5.99
114,nikolskoye,75,RU,1542083400,96,59.7,30.79,274.15,3.0
115,ciudad bolivar,0,VE,1542087134,70,8.12,-63.55,300.645,5.84
116,high level,90,CA,1542085200,85,58.52,-117.13,267.15,2.6
117,provideniya,20,RU,1542083400,62,64.42,-173.23,268.15,9.0
118,barmer,0,IN,1542087135,36,25.74,71.4,304.145,2.06
119,puerto ayora,76,EC,1542087136,100,-0.74,-90.35,295.02,5.49
120,carnarvon,36,ZA,1542087136,10,-30.97,22.13,296.52,2.14
121,marktoberdorf,0,DE,1542084600,93,47.78,10.62,277.15,3.6
122,rio grande,48,BR,1542087137,89,-32.03,-52.1,295.645,9.26
123,rio gallegos,75,AR,1542085200,61,-51.62,-69.22,283.15,3.1
124,grindavik,75,IS,1542085200,100,63.84,-22.43,277.15,1.5
125,faya,0,SA,1542085200,59,18.39,42.45,291.15,1.59
126,tuatapere,0,NZ,1542087138,84,-46.13,167.69,286.72,3.99
127,bowen,48,AU,1542081600,51,-20.01,148.25,302.15,8.7
128,tiksi,32,RU,1542087139,61,71.64,128.87,248.12,2.01
129,guerrero negro,0,MX,1542087139,52,27.97,-114.04,291.195,8.69
130,maragogi,88,BR,1542087140,100,-9.01,-35.22,296.77,1.69
131,metro,68,ID,1542087140,90,-5.11,105.31,302.545,1.06
132,valera,48,VE,1542087140,100,9.31,-70.61,296.62,1.29
133,khasan,0,RU,1542087141,100,42.43,130.64,278.47,3.04
